"consignee","product","weightKG"
"NISSIN INTERNATIONAL TRANSPORT","WIPER POWER WINDOW HORN RELAY PARTS FORAUTOMOBILE (INV.NO CM14-086 ) (INV.NO. TOA-783 ) POWE R WINDOW PARTS FOR MOTORCYCLE (INV.NO. CME14-P13 ) 583 P ALLETS(8,879 CARTONS, 834 PIECES, 9 CANS) HS CODE 850131 850300 903290 851290 401699 853 690 391739 851220 851230 401693 841370 842490 848340 731822 400911 850511 854720 731812 731815 481950 441520 392310 392390 851190 848310 WIPER POWER WINDOW HORN RELAY PARTS FORAUTOMOBILE (INV.NO CM14-086 ) (INV.NO. TOA-783 ) POWE R WINDOW PARTS FOR MOTORCYCLE (INV.NO. CME14-P13 ) 583 P ALLETS(8,879 CARTONS, 834 PIECES, 9 CANS) HS CODE 850131 850300 903290 851290 401699 853 690 391739 851220 851230 401693 841370 842490 848340 731822 400911 850511 854720 731812 731815 481950 441520 392310 392390 851190 848310 WIPER POWER WINDOW HORN RELAY PARTS FORAUTOMOBILE (INV.NO CM14-086 ) (INV.NO. TOA-783 ) POWE R WINDOW PARTS FOR MOTORCYCLE (INV.NO. CME14-P13 ) 583 P ALLETS(8,879 CARTONS, 834 PIECES, 9 CANS) HS CODE 850131 850300 903290 851290 401699 853 690 391739 851220 851230 401693 841370 842490 848340 731822 400911 850511 854720 731812 731815 481950 441520 392310 392390 851190 848310 WIPER POWER WINDOW HORN RELAY PARTS FORAUTOMOBILE (INV.NO CM14-086 ) (INV.NO. TOA-783 ) POWE R WINDOW PARTS FOR MOTORCYCLE (INV.NO. CME14-P13 ) 583 P ALLETS(8,879 CARTONS, 834 PIECES, 9 CANS) HS CODE 850131 850300 903290 851290 401699 853 690 391739 851220 851230 401693 841370 842490 848340 731822 400911 850511 854720 731812 731815 481950 441520 392310 392390 851190 848310 WIPER POWER WINDOW HORN RELAY PARTS FORAUTOMOBILE (INV.NO CM14-086 ) (INV.NO. TOA-783 ) POWE R WINDOW PARTS FOR MOTORCYCLE (INV.NO. CME14-P13 ) 583 P ALLETS(8,879 CARTONS, 834 PIECES, 9 CANS) HS CODE 850131 850300 903290 851290 401699 853 690 391739 851220 851230 401693 841370 842490 848340 731822 400911 850511 854720 731812 731815 481950 441520 392310 392390 851190 848310 WIPER POWER WINDOW HORN RELAY PARTS FORAUTOMOBILE (INV.NO CM14-086 ) (INV.NO. TOA-783 ) POWE R WINDOW PARTS FOR MOTORCYCLE (INV.NO. CME14-P13 ) 583 P ALLETS(8,879 CARTONS, 834 PIECES, 9 CANS) HS CODE 850131 850300 903290 851290 401699 853 690 391739 851220 851230 401693 841370 842490 848340 731822 400911 850511 854720 731812 731815 481950 441520 392310 392390 851190 848310 WIPER POWER WINDOW HORN RELAY PARTS FORAUTOMOBILE (INV.NO CM14-086 ) (INV.NO. TOA-783 ) POWE R WINDOW PARTS FOR MOTORCYCLE (INV.NO. CME14-P13 ) 583 P ALLETS(8,879 CARTONS, 834 PIECES, 9 CANS) HS CODE 850131 850300 903290 851290 401699 853 690 391739 851220 851230 401693 841370 842490 848340 731822 400911 850511 854720 731812 731815 481950 441520 392310 392390 851190 848310 WIPER POWER WINDOW HORN RELAY PARTS FORAUTOMOBILE (INV.NO CM14-086 ) (INV.NO. TOA-783 ) POWE R WINDOW PARTS FOR MOTORCYCLE (INV.NO. CME14-P13 ) 583 P ALLETS(8,879 CARTONS, 834 PIECES, 9 CANS) HS CODE 850131 850300 903290 851290 401699 853 690 391739 851220 851230 401693 841370 842490 848340 731822 400911 850511 854720 731812 731815 481950 441520 392310 392390 851190 848310 WIPER POWER WINDOW HORN RELAY PARTS FORAUTOMOBILE (INV.NO CM14-086 ) (INV.NO. TOA-783 ) POWE R WINDOW PARTS FOR MOTORCYCLE (INV.NO. CME14-P13 ) 583 P ALLETS(8,879 CARTONS, 834 PIECES, 9 CANS) HS CODE 850131 850300 903290 851290 401699 853 690 391739 851220 851230 401693 841370 842490 848340 731822 400911 850511 854720 731812 731815 481950 441520 392310 392390 851190 848310 WIPER POWER WINDOW HORN RELAY PARTS FORAUTOMOBILE (INV.NO CM14-086 ) (INV.NO. TOA-783 ) POWE R WINDOW PARTS FOR MOTORCYCLE (INV.NO. CME14-P13 ) 583 P ALLETS(8,879 CARTONS, 834 PIECES, 9 CANS) HS CODE 850131 850300 903290 851290 401699 853 690 391739 851220 851230 401693 841370 842490 848340 731822 400911 850511 854720 731812 731815 481950 441520 392310 392390 851190 848310",131655
"WAL-MART STORES INC.","COFFEE MAKER WAL-MART PO.NO.: 1001927810 WAL-MART ITEM NO.0 01564279 HTS CODE:8516.71.002 0 BAR CODE:20027045659332 T YPE NO:40 EXPORTER DECLARE TH IS SHIPMENT CONTAINS NO REGUL ATED WOOD PACKING MATERIALS. WMS G-LOCATION NO. 00787420 00008",22145
"NISSIN INTERNATIONAL TRANSPORT","SHIPPER-S LOAD & COUNT 1X20-DC CONTAINER 9 PACKAGES ============== ATV PARTS WAY BILL 'FREIGHT & DDC PREPAID' AS ARRANGED",3138
"COSTCO WHOLESALE CORPORATION","TOYS CAR COSTCO PO NO.267-0529-590 48CTNS A/C COSTCO WHOLESALE CORPORATION ITEM NO.981596 . DETAIL OF COMMODITY TOYS CAR . THE SHIPMENT DOES NOT CONTAIN ANY SOLID WOOD PACKING MATERIAL IF APPLICABLE CPSIA URL - WWW.COSTCOCPSIA.COM 'CPSIA CERTIFICATE WWW.ICIX.COM/LINK/ COSTCO/CPSIACERTIFICATION' @GUANGDONG CHINA CONTACT PERSON SCOLAEMAIL ADD. SHIPPING@XQ-TOYS.COM TEL NO 754-85513333EXT2116 FAX NO.754-85511888 AS AGENT FOR SI SHIPMENT",5174
"WALONG MARKETING INC.","Other food preparations n. e. s.FROZEN FOODSTUFF1.GREEN ONION PASTA CAKE2.RED BEAN PASTA CAKE3.CHINESE CHIVES POCKETS4.CHINESE PANCAKE",14527
"HELLMANN WORLDWIDE LOGISTICS","S.L.A.C. ON 20 PALLETS BRAKE PARTS FOR THE AUTOMOTIVE INDUSTRY HS CODE- 8708.30.99 H B-L- BREHOUE03122 NRA MOVE ; FREIGHT COLLECT ;",6000
"NEPTUNE SHIPPING LIMITED D B A","PHOTOSNSITVE SEMICNDCTR DVICE INC PHTVLTC CEL305W POLY SOLAR MODULES (JC305M-24 ABH) (GROSOLAR) GROUP COMM BUILDING MATERIALS NAME ACCOUNT SUNIVA INC PHOTOSNSITVE SEMICNDCTR DVICE INC PHTVLTC CEL305W POLY SOLAR MODULES (JC305M-24 ABH) (GROSOLAR) GROUP COMM BUILDING MATERIALS NAME ACCOUNT SUNIVA INC PHOTOSNSITVE SEMICNDCTR DVICE INC PHTVLTC CEL305W POLY SOLAR MODULES (JC305M-24 ABH) (GROSOLAR) GROUP COMM BUILDING MATERIALS NAME ACCOUNT SUNIVA INC PHOTOSNSITVE SEMICNDCTR DVICE INC PHTVLTC CEL305W POLY SOLAR MODULES (JC305M-24 ABH) (GROSOLAR) GROUP COMM BUILDING MATERIALS NAME ACCOUNT SUNIVA INC",64416
"TO THE ORDER OF BUMBLE BEE FOODS","CANNED SARDINES CANNED SARDINES CANNED SARDINES CANNED SARDINES",93463
"EASTERN FISH COMPANY GLENPOINTE CEN","PROD W/ FISH MEAT;PREP;SHR/PRWIQF COOKED PEELED DEVEINEDTAIL ON WHITE SHRIMP RING.P.O.NO.20321.G.W.24,882.00 LBS.N.W.15,551.25 LBS.FREIGHT PREPAID AND INCLUDINGALL DDC CHARGES.CUSTOMS AND FDA CLEAR AT PORTOF DISCHARGE.GOODS STOWED IN REFRIGERATEDCONTAINER SET AT MINUS 20DEGREES CENTIGRADE OR 0DEGREES FAHRENHEIT.NAME AND ADDRESS OFSHIPPER PACKER MANUFACTURER:THAI ROYAL FROZEN FOODCO.,LTD. 119 99 MOO 1 TAMBONTACHIN, AMPHUR MUANG,SAMUTSAKORN 74000,THAILAND.SHIPPERS DESIRE TO STATE THATSHIPPERS LOAD & COUNTON BOARD VESSEL:OOCL OAKLAND V.22E52AT LAEM CHABANG ON 05.JAN.2011",11310
"PEGASUS MARITIME INC","TOILET SOAP",15545
"COSTCO WHOLESALE CORPORATION","PLASTIC DRINKWARE PLASTIC DRINKWARE PO#179-1110-384 SHIPPER PANDEX MERCHANDISE CO., LTD. 11F-8 NO.237 SEC.2,FU-HSIN S.ROAD, TAIPEI, TAIWAN,R.O.C. THE ABOVE SHIPMENT DOES NOT CONTAINS ANY REGULATED WOOD PACKAGING MATERIAL. THE SAME THE SAME THE SAME",11720
"DEAL INTERNATIONAL INC.","ADHESIVE",12306
"COSTCO WHOLESALE CANADA LTD","TRIPLE TUBE BIRD FEEDER TRIPLE TUBE BIRD FEEDER PO#571-1122-128 H.S.CODE 73269090 . DECLARE COSTCO SHIPMENT, INCLUDING ITS CONTAINER, DOES NOT CONTAIN ANY NON- MANUFACTURED WOODEN MATERIAL, DUNNAGE, BRACING MATERIAL, PALLETS, CRATING OR OTHER NON-MANUFACTURED WOODEN PACKING MATERIAL.",4000
"WAL-MART STORES, INC.","52 CARTONS LINER LOCK KNIFE-FOLDABLE P.O.NO 3451819259 ITEM NO. : 947453 VENDOR DECLARE HTS CODE : 8211930030 GLN:0078742000008 PO TYPE :0023 INV. NO.51/2007 34 CARTONS -DO- HUNTING KNIFE WITH SHEATH ITEM NO. 947466 HTS CODE: 8211926000 42 CARTONS -DO- 4-1/2' CLOSED MULTI-TOOL ITEM NO. 990907 HTS CODE: 8211930030",1332
"NEPTUNE SHIPPING LIMITED D/B/A","MOTORCYCLE SADDLE BAG MOTORCYCLE RACKS MOTORCYCLE ACCESSORIES IN CARTONS S/C:15-0754 GROUP COMM:BULLET 01 AUTO PARTS NAME ACCOUNT:IMMECC SHANGHAI LIMITED FAX:+86-21-61203900/3910 JENNIFER NEPTUNEUS. COM TOT PKGS 519 CT CY-CY",8930
"DIANA NATURALS INC","DISTILLATED WHITE WINE EXTRACT POWDER HS CODE : 210690 460 BOXES LOADED ON 23 PALLETS",10295
"TO ORDER OF MUTUAL TRADING CO.,INC.","PREPARED VEGETABLES GINGER IN BRINE BULK,MARUSALTED SHOGA SCALLION IN BRINE SHIOZUKE RAKKYO SLICED GINGER IN SWEET VINEGAR HANJO GARIAMASUZUKE HANJO SHIRO GARI AMASUZUKE PICKLEDGINGER KIZAMI BENI SHOGA BAF PREPAID DDC COLLECT",17500
"CHOICE CANNING COMPANY INC.","FROZEN SHRIMP",16465
"QUIRCH FOODS - CARIBBEAN","FROZEN WHITING STEAK SCIENTIFIC NAME: MERLUCCIUS GAYI GAYI 1334 CARTONS 18152.95 KG NET WEIGHT P.O 400038 DAE 028-2015-40-00067425 TERMOREGISTRO: 48554634 NCM: 030474",19060
"HELLMANN WORLDWIDE LOGISTICS INC.","POLISHED GRANITE TILES NATURAL SLATE STONE TILES AS PER IN VOICE S B NO: 1605531 DT.14/ 03/2014 INV NO: 2246/ISIPL D T.28/02/2014 IEC NO: 3803000 106 HS CODE NO: 68022310 P O NO: 2000410857,2000409518 & 2000413522 SHIPMENT NO: 30 00085745,3000085728, 3000084 794 & 3000087698 'NRA APPLIE S' //EXPRESS B/L//",22046
"WAL-MART STORES, INC.","HEAVY DUTY LINER HEAVY DUTY LINER - CLEAR P.O.NO.: 2301881879 ITEM NO:2161562 HTS CODE: 3924901010 HEAVY DUTY LINER-WHITE P.O.NO.: 2301881879 ITEM NO:2161590 HTS CODE: 3924901010 HEAVY DUTY LINER - NAVY P.O.NO.: 2301881879 ITEM NO:2168590 HTS CODE: 3924901010 HEAVY DUTY LINER - VANILLA P.O.NO.: 2301881879 ITEM NO:2161555 WMS G-LOCATION NO. 0078742000008 HTS CODE: 3924901010 PO TYPE:40 DEPT.NO.: 00021 HEAVY DUTY LINER-WHITE P.O.NO.: 2301881879 ITEM NO:2161590 HTS CODE: 3924901010 SERVICE CONTRACT NO.:SC30088 THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME",32918
"ALL HARVEST TRADING LLC","FROZEN FISH: TILAPIA WHOLE,GUTTED AND SCALED, ONE THOUSAND ONE HUNDRED AND FORTY MASTER CARTONS ONLY. N.W.:44100LBS THIS SHIPMENT CONTAINS NO WOOD PACKING MATERIALS",20323
"GOOD CHOICE TRADING INC.","'SHIPPER-S LOAD, COUNT & SEAL' CANNED PRESERVED VEGETABLE S/C:08-2554 1X20-DC FCL FREIGHT COLLECT",15000
"COSTCO WHOLESALE CORPORATION","MICA THERMIC HEATER MICA THERMIC HEATER NO.1, WEST ROAD TIANHE INDUSTRIAL FCR COPY PLS E-MAIL:BONNIECEN@126.COM THE SHIPMENT DOES NOT CONTAIN ANY",6955
"L.C.LOGISTICS,INC.(LAX)","AIR CLEANER FAN THIS SHIPMENT CONTAINS NO WOOD PACKING MATERIALS.",10772
"CHILLING COLD STORAGE","FROZEN PORK NDR - 1",24358
"STANLEY BLACK & DECKER INC","10LB FATMAX SLEDGE HAMMER 16OZ FGLASS CURVE CLAW HAMMER SHELL FM BLACKSMITH HAMMER 4LB",16795
"COSTCO WHOLESALE CANADA LTD","OUTDOOR COOKING PIT OUTDOOR COOKING PIT PO#5710815136 HS CODE 732119 THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME",9576
"MCALLEN COLD STORAGE, LTD","LADY BAGS",1534
"THE FISHIN COMPANY","FROZEN TILAPIA FILLET PACKING- 8-4LB-CTN, FISHIN BRAND. PLANT NO.- 4500-02038 THIS SHIPMENT CONTAINS NO WOOD PACKING MATERIAL. FDA REGISTRATION NUMBER 11598955772 SIZE-2-5OZ TEMPERATURE SET AT MINUS 18 DEGREES CELSIUS VENTILATION SET AT CLOSE PO.- 12-104T-1 BEST BY DATE- 11-02-2014 FROZEN TILAPIA FILLET PACKING- 8-4LB-CTN, FISHIN BRAND. PLANT NO.- 4500-02038 THIS SHIPMENT CONTAINS NO WOOD PACKING MATERIAL. FDA REGISTRATION NUMBER 11598955772 SIZE-2-5OZ TEMPERATURE SET AT MINUS 18 DEGREES CELSIUS VENTILATION SET AT CLOSE PO.- 12-104T-2 BEST BY DATE- 11-09-2014 FROZEN TILAPIA FILLET PACKING- 8-4LB-CTN, FISHIN BRAND. PLANT NO.- 4500-02038 THIS SHIPMENT CONTAINS NO WOOD PACKING MATERIAL. FDA REGISTRATION NUMBER 11598955772 SIZE-2-5OZ TEMPERATURE SET AT MINUS 18 DEGREES CELSIUS VENTILATION SET AT CLOSE PO.- 12-104T-3 BEST BY DATE- 11-11-2014 FROZEN TILAPIA FILLET PACKING- 8-4LB-CTN, FISHIN BRAND. PLANT NO.- 4500-02038 THIS SHIPMENT CONTAINS NO WOOD PACKING MATERIAL. FDA REGISTRATION NUMBER 11598955772 SIZE-2-5OZ TEMPERATURE SET AT MINUS 18 DEGREES CELSIUS VENTILATION SET AT CLOSE PO.- 12-104T-4 BEST BY DATE- 11-12-2014 FROZEN TILAPIA FILLET PACKING- 8-4LB-CTN, FISHIN BRAND. PLANT NO.- 4500-02038 THIS SHIPMENT CONTAINS NO WOOD PACKING MATERIAL. FDA REGISTRATION NUMBER 11598955772 SIZE-2-5OZ TEMPERATURE SET AT MINUS 18 DEGREES CELSIUS VENTILATION SET AT CLOSE PO.- 12-104T-1 BEST BY DATE- 11-02-2014 FROZEN TILAPIA FILLET PACKING- 8-4LB-CTN, FISHIN BRAND. PLANT NO.- 4500-02038 THIS SHIPMENT CONTAINS NO WOOD PACKING MATERIAL. FDA REGISTRATION NUMBER 11598955772 SIZE-2-5OZ TEMPERATURE SET AT MINUS 18 DEGREES CELSIUS VENTILATION SET AT CLOSE PO.- 12-104T-2 BEST BY DATE- 11-09-2014 FROZEN TILAPIA FILLET PACKING- 8-4LB-CTN, FISHIN BRAND. PLANT NO.- 4500-02038 THIS SHIPMENT CONTAINS NO WOOD PACKING MATERIAL. FDA REGISTRATION NUMBER 11598955772 SIZE-2-5OZ TEMPERATURE SET AT MINUS 18 DEGREES CELSIUS VENTILATION SET AT CLOSE PO.- 12-104T-3 BEST BY DATE- 11-11-2014 FROZEN TILAPIA FILLET PACKING- 8-4LB-CTN, FISHIN BRAND. PLANT NO.- 4500-02038 THIS SHIPMENT CONTAINS NO WOOD PACKING MATERIAL. FDA REGISTRATION NUMBER 11598955772 SIZE-2-5OZ TEMPERATURE SET AT MINUS 18 DEGREES CELSIUS VENTILATION SET AT CLOSE PO.- 12-104T-4 BEST BY DATE- 11-12-2014 FROZEN TILAPIA FILLET PACKING- 8-4LB-CTN, FISHIN BRAND. PLANT NO.- 4500-02038 THIS SHIPMENT CONTAINS NO WOOD PACKING MATERIAL. FDA REGISTRATION NUMBER 11598955772 SIZE-2-5OZ TEMPERATURE SET AT MINUS 18 DEGREES CELSIUS VENTILATION SET AT CLOSE PO.- 12-104T-1 BEST BY DATE- 11-02-2014 FROZEN TILAPIA FILLET PACKING- 8-4LB-CTN, FISHIN BRAND. PLANT NO.- 4500-02038 THIS SHIPMENT CONTAINS NO WOOD PACKING MATERIAL. FDA REGISTRATION NUMBER 11598955772 SIZE-2-5OZ TEMPERATURE SET AT MINUS 18 DEGREES CELSIUS VENTILATION SET AT CLOSE PO.- 12-104T-2 BEST BY DATE- 11-09-2014 FROZEN TILAPIA FILLET PACKING- 8-4LB-CTN, FISHIN BRAND. PLANT NO.- 4500-02038 THIS SHIPMENT CONTAINS NO WOOD PACKING MATERIAL. FDA REGISTRATION NUMBER 11598955772 SIZE-2-5OZ TEMPERATURE SET AT MINUS 18 DEGREES CELSIUS VENTILATION SET AT CLOSE PO.- 12-104T-3 BEST BY DATE- 11-11-2014 FROZEN TILAPIA FILLET PACKING- 8-4LB-CTN, FISHIN BRAND. PLANT NO.- 4500-02038 THIS SHIPMENT CONTAINS NO WOOD PACKING MATERIAL. FDA REGISTRATION NUMBER 11598955772 SIZE-2-5OZ TEMPERATURE SET AT MINUS 18 DEGREES CELSIUS VENTILATION SET AT CLOSE PO.- 12-104T-4 BEST BY DATE- 11-12-2014 FROZEN TILAPIA FILLET PACKING- 8-4LB-CTN, FISHIN BRAND. PLANT NO.- 4500-02038 THIS SHIPMENT CONTAINS NO WOOD PACKING MATERIAL. FDA REGISTRATION NUMBER 11598955772 SIZE-2-5OZ TEMPERATURE SET AT MINUS 18 DEGREES CELSIUS VENTILATION SET AT CLOSE PO.- 12-104T-1 BEST BY DATE- 11-02-2014 FROZEN TILAPIA FILLET PACKING- 8-4LB-CTN, FISHIN BRAND. PLANT NO.- 4500-02038 THIS SHIPMENT CONTAINS NO WOOD PACKING MATERIAL. FDA REGISTRATION NUMBER 11598955772 SIZE-2-5OZ TEMPERATURE SET AT MINUS 18 DEGREES CELSIUS VENTILATION SET AT CLOSE PO.- 12-104T-2 BEST BY DATE- 11-09-2014 FROZEN TILAPIA FILLET PACKING- 8-4LB-CTN, FISHIN BRAND. PLANT NO.- 4500-02038 THIS SHIPMENT CONTAINS NO WOOD PACKING MATERIAL. FDA REGISTRATION NUMBER 11598955772 SIZE-2-5OZ TEMPERATURE SET AT MINUS 18 DEGREES CELSIUS VENTILATION SET AT CLOSE PO.- 12-104T-3 BEST BY DATE- 11-11-2014 FROZEN TILAPIA FILLET PACKING- 8-4LB-CTN, FISHIN BRAND. PLANT NO.- 4500-02038 THIS SHIPMENT CONTAINS NO WOOD PACKING MATERIAL. FDA REGISTRATION NUMBER 11598955772 SIZE-2-5OZ TEMPERATURE SET AT MINUS 18 DEGREES CELSIUS VENTILATION SET AT CLOSE PO.- 12-104T-4 BEST BY DATE- 11-12-2014",90214
"PREFERRED FREEZER SERVICES OF","37.620,00 NET POUNDS FROZEN AT LANTIC SALMON PORTION CODE 4 6340 INVERMAR-S FDA # 177 21813808 BL 866508783 OUR REF. COA13A-52 E-334132",17971
"GOLDEN BRIDGE INTERNATIONAL INC.","TABLEWARE AND KITCHENWARE OF PLASTICS PLASTIC TABLEWARE TABLEWARE AND KITCHENWARE OF PLASTICS PLASTIC TABLEWARE TABLEWARE AND KITCHENWARE OF PLASTICS PLASTIC TABLEWARE TABLEWARE AND KITCHENWARE OF PLASTICS PLASTIC TABLEWARE",95807
"UNITED CARGO MANAGEMENT INC.","CENTURY SCREEN DOOR T-BAR SCREEN DOOR",18900
"SEAFRIGO USA","CHOCOLATE HOUSE BL : E20524 00000 / E2052400001/E205240000 2/E2052400003/ E2052400004/E2 052400005 E2052400006/E2052400 007/E2052400007/ E2052400008/ E2052400009/ E2052400010/ E205 2400011 E2052400012/ E2052400 013 THC PREPAID CUS PREPAID",10482
"COSTCO WHOLESALE CORPORATION","POLYCARBONATE SPINNER SUITCASE PO NO. 5840712414 COSTCO ITEM/ ART#151570 COMMODITY:SAMSONITE 29-- POLYCARBONATE SPINNER SUITCASE COLOR: BLACK GREEN HTS NO. 4202.12.2020 COUNTRY OF ORIGIN: CHINA",4148
"GOLDEN BRIDGE INTERNATIONAL, INC.","FURNITURE P.O.NO:25188 MATTRESS SUPPORT FOUNDATIONS",5974
"HELLMANN WORLDWIDE LOGISTICS","AUTOMOTIVE TOOLS TOOLS FOR BOSCH AUTOMOTIVE SERVICE SOLUTIONS . AUTOMOTIVE TOOLS SUPPLIER NO. 150127 . 215 CTNS = 14 PLTS THE SAME THE SAME THE SAME",3250
"MAZZETTA COMPANY","FROZEN SHRIMP",12000
"WAL-MART STORES, INC.","FCL/FCL 4 3D PANEL ROPE TREE P.O.NO.:2201829920 ITEM NO.1824717 HTS CODE: 9505105010 DEPARTMENT NO.: 00018 GLN:0078742000008 PO TYPE:0043 S/C 05-0242 FREIGHT COLLECT TOTAL 1X40- CONTAINER ONLY",11058
"CALBEE NORTH AMERICA, LLC.","CALBEE PRAWN CRACKERS (SHRIMP CHIPS) CALBEE PRAWN CRACKERS YUZU BLACK PEPPER (SHRIMP CHIPS)",4944
"COLORADO FOOD PRODUCTS INC","AUST. BONELESS CHILLED BEEFOBE BRANDINTENDED TSHIP VESSEL AKL-PHILADELPHIA:MAERSK BRANI V 128N",10576
"AA FOOD,INC.","FROZE SEAFOODS (TILAPIA) FROZE SEAFOODS (TILAPIA) -------------- TEMPERATURE SET AT -18.0 DEGREES C. REEFER CONTAINER",20453
"COSTCO WHOLESALE CORPORATION","WHISKEY BARREL 25' HDR WHISKEY BARREL PO#262-0905-456 IF APPLICABLE CPSIA URL - WWW.COSTCOCPSIA.COM",5184
"PEGASUS MARITIME INC","INDIAN HANDMADE WOOLLEN CARPET S, INDIAN HANDKNOTTED ART SI LK & WOOLLEN CARPETS, HAND KNOTTED/HANDWOVEN WOOLLEN & ART SILK CARPETS HS CODE: 57 050023, 57011000, 57019090, 57023110 SCAC CODE : ATLL FREIGHT COLLECT EXPORTER REF ERENCE NUMBER : 41099008981 1)ORIGIN DOMESTIC / INLA ND :PREPAID BASIS 2)ORIGIN T HC: PREPAID BASIS INVOICE PA RTY : NOBLE SHIPPING PVT. LTD. +++++++++++++++++++++++ 1 )OCEAN : COLLECT BASIS 2)DES TINATION THC: COLLECT BASIS 3)DESTINATION DOMESTIC / INLAN D: COLLECT BASIS INVOICE PAR TY : PEGASUS MARITIME INC",19255
"HELLMANN WORLDWIDE LOGISTICS INC.","EUKESOLAR BLACK ES LIQUIDEUKESOLAR BLACK ER LIQUIDBASYNTANLEPTON ENHANCEREUKESOLAR YELLOW EG LIQUIDEUKESOLAR DARK BROWN ER LIQUIDEUKESOLAR ORANGE ER LIQUIDEUKESOLAR BROWN EB LIQUIDASTACIN FINISH PE",15394
"NISSIN INTERNATIONAL TRANSPORT","COSMETIC INGREDIENT AMISOFT CT-12 ==================== SEA WAY BILL",33984
"WAL-MART STORES, INC.","ALUMINIUM ARTWARES",767
"CJ FOODS, INC.","ROASTED SEA SALTROASTED SEA SALT (500GX20EA)/CTROASTED SEA SALT (1KGX10EA)/CTSOUP STOCK - CLAM FLAVOR (300GX20EA)/CTAPPLE VINEGAR (900GX15EA)/CTBROWN RICE VINEGAR (900GX15EA)/CTPREMIUM APPLE VINEGAR (900GX15EA)/CTSOLAR SALT (250GX12EA)/CTSOLAR SALT (500GX12EA)/CTSOLAR SALT (1KGX8EA)/CTTABLE SALT (120GX30EA)/CTTABLE SALT (250GX24EA)/CTANCHOVY SAUCE (9KGX1EA)/CTFURIKAKE RICE SEASONING (SEAFOODMIX) (24GX40EA)/CTFURIKAKE RICE SEASONING (VEGETABLEMIX) (27GX40EA)/CTFURIKAKE RICE SEASONING(KATSUO) (18GX40EA)/CTCRISPY TOASTEDSEAWEED (20GX4PACK)X10EA/CTNLA-JR110601-03",8366
"PESCANOVA USA","SHRIMPS/PRAWNS,SHELL-ON,<33/KG1000 BOXESFRESH FROZEN SHRIMPNET POUNDS: 40000.00GROSS POUNDS: 50000.00NET WEIGHT: 18144.00GROSS WEIGHT:22680.00DAU: 16501523RERENDO NO. 028-10-15-021242-5-01FREIGHT COLLECTTEMPERATURE: -18CREGISTRO FDA NO. 1299662484US-CHIW-10-0220-C0017ECSHIPPERS LOAD, STOW, COUNT AND SEALED",22680
"EASTLAND FOOD CORPORATION","INDOMIE BRAND INSTANT NOODLES 5,014 CARTONS INDOMIE BRAND INSTANT NOODLES ORDER NO Y130301 HS CODE 1902.19 N.W. 12,605.70 KGS PORT OF LOADING TANJUNG PRIOK, JAKARTA, INDONESIA SHIPPED ON BOARD 31-08-2013 VESSEL BY LEO PERDANA V.0527-013W CONNECTING VESSEL BY EVER DELIGHT V.0696-083E",15113
"HANSON AGGREGATES MID PACIFIC","CONCRETE SAND",5e+06
"COSTCO WHOLESALE CANADA LTD","KS 32IN DECO SWAG NO LIGHTS KS SWAG UNLIT KS 32IN DECO SWAG NO LIGHTS ITEM#988074 PO#571-0218-195 66 PACKAGES = 1386 PCS . HS CODE 9505.10.0090 DECLARE COSTCO, . SHIPMENT, INCLUDING ITS CONTAINER, DOES NOT CONTAIN ANY NON- MANUFACTURED WOODEN MATERIAL, DUNNAGE, BRACING MATERIAL, PALLETS, CRATING OR OTHER NON-MANUFACTURED WOODEN PACKING MATERIAL.",2602
"WAL-MART STORES, INC.","NOSE CLIP N EAR PLUGS WAL-MART P.O. NO:1801746579 WAL-MART ITEM NO.: 000745294 WITH BARCODE LABEL GLN :0078742000008 HTS:9506290080, PO TYPE:0023 PURCHASE ORDER NUMBER: 1801746579",624
"COSTCO WHOLESALE","48,960 PIECES OF BRIEF OF COTT ON KNIT LOTS# 90264-AM, 90265 -AM, 90266-AM, 90267-AM PO#96 0-1121-965",4084
"CARNIVAL CRUISE LINES","SHIP SPARES",310
"DAISO SEATTLE LLC","PAPER MANUFACTURE(CARDS)(4823.90)",2200
"OCEANIC BRIDGE INTERNATIONAL INC.","S.T.C. MASSAGE SCAC CODE:O MATERIALS .** ATTN:MS.LISA",5601
"HELLMANN WORLDWIDE LOGISTICS","BRONZE POWDER LF5 HS CODE 74061000 . . .",19240
"LIVINGSTON INTERNATIONAL INC.","HARDWARE SCREWS,HANGERHARDWARE SCREWS,HANGER464CTNS=20PLTSNO DESCRIPTIONNO DESCRIPTIONNO DESCRIPTIONNO DESCRIPTION",7379
"NISSIN FOODS-GARDENA","MONOSODIUM GLUTAMATE",19203
"JAYONE FOODS, INC.","PUFFED SNACK-PILLOW BAG",1492
