,x,,,,,,,Variables,Dim.1,Dim.2,Dim.3
249,% of var.              0.115   0.115   0.115   0.114   0.114   0.114,,,,,,,responds,0.022,0.047,0.012
250,Cumulative % of var.  68.723  68.837  68.952  69.066  69.180  69.294,,,,,,,stimulates,0.022,0.047,0.012
251,                     Dim.367 Dim.368 Dim.369 Dim.370 Dim.371 Dim.372,,,,,,,studied,0.022,0.047,0.012
252,Variance              10.277  10.245  10.226  10.220  10.199  10.174,,,,,,,swelling,0.022,0.047,0.012
253,% of var.              0.113   0.113   0.113   0.113   0.113   0.112,,,,,,,topical,0.022,0.047,0.012
254,Cumulative % of var.  69.407  69.520  69.633  69.746  69.859  69.971,,,,,,,nodes,0.021,0.047,-0.023
255,                     Dim.373 Dim.374 Dim.375 Dim.376 Dim.377 Dim.378,,,,,,,sensitivity,0.416,0.046,-0.006
256,Variance              10.158  10.137  10.100  10.078  10.060  10.009,,,,,,,antibodies,0.014,0.046,0.01
257,% of var.              0.112   0.112   0.112   0.111   0.111   0.111,,,,,,,convolutional,0.01,0.046,0.007
258,Cumulative % of var.  70.083  70.195  70.307  70.418  70.529  70.640,,,,,,,simple,0.207,0.045,-0.011
259,                     Dim.379 Dim.380 Dim.381 Dim.382 Dim.383 Dim.384,,,,,,,another,0.141,0.045,-0.017
260,Variance               9.995   9.970   9.949   9.920   9.905   9.885,,,,,,,receptors,0.018,0.045,0.01
261,% of var.              0.110   0.110   0.110   0.110   0.109   0.109,,,,,,,targets,0.014,0.045,-0.022
262,Cumulative % of var.  70.750  70.860  70.970  71.080  71.189  71.298,,,,,,,cells,0.001,0.045,-0.027
263,                     Dim.385 Dim.386 Dim.387 Dim.388 Dim.389 Dim.390,,,,,,,consistently,0.04,0.044,0.029
264,Variance               9.872   9.851   9.803   9.797   9.783   9.763,,,,,,,long,0.027,0.044,0.135
265,% of var.              0.109   0.109   0.108   0.108   0.108   0.108,,,,,,,stem,0.02,0.044,-0.017
266,Cumulative % of var.  71.407  71.516  71.624  71.732  71.840  71.948,,,,,,,cartridge,0.011,0.044,0.01
267,                     Dim.391 Dim.392 Dim.393 Dim.394 Dim.395 Dim.396,,,,,,,preliminary,0.011,0.044,0.01
268,Variance               9.742   9.729   9.690   9.663   9.637   9.618,,,,,,,desired,0.011,0.044,0.006
269,% of var.              0.108   0.107   0.107   0.107   0.106   0.106,,,,,,,detailed,0.01,0.044,0.007
270,Cumulative % of var.  72.056  72.163  72.270  72.377  72.483  72.590,,,,,,,algorithm,0.01,0.044,-0.001
271,                     Dim.397 Dim.398 Dim.399 Dim.400 Dim.401 Dim.402,,,,,,,reducing,0.007,0.044,-0.008
272,Variance               9.593   9.582   9.561   9.516   9.502   9.466,,,,,,,transfer,0.297,0.043,-0.034
273,% of var.              0.106   0.106   0.106   0.105   0.105   0.105,,,,,,,limited,0.021,0.043,-0.025
274,Cumulative % of var.  72.696  72.801  72.907  73.012  73.117  73.221,,,,,,,billion,0.017,0.043,0.001
275,                     Dim.403 Dim.404 Dim.405 Dim.406 Dim.407 Dim.408,,,,,,,tuning,0.023,0.042,-0.019
276,Variance               9.453   9.421   9.393   9.380   9.373   9.353,,,,,,,naturally,0.423,0.041,-0.005
277,% of var.              0.104   0.104   0.104   0.104   0.104   0.103,,,,,,,instances,0.02,0.041,-0.025
278,Cumulative % of var.  73.326  73.430  73.534  73.637  73.741  73.844,,,,,,,predictive,0.017,0.041,-0.028
279,                     Dim.409 Dim.410 Dim.411 Dim.412 Dim.413 Dim.414,,,,,,,broken,0.016,0.041,0.009
280,Variance               9.325   9.288   9.274   9.241   9.225   9.202,,,,,,,needing,0.009,0.041,0.007
281,% of var.              0.103   0.103   0.102   0.102   0.102   0.102,,,,,,,label,0,0.041,0.008
282,Cumulative % of var.  73.947  74.050  74.152  74.254  74.356  74.458,,,,,,,when,0.242,0.04,-0.031
283,                     Dim.415 Dim.416 Dim.417 Dim.418 Dim.419 Dim.420,,,,,,,becomes,0.231,0.04,-0.014
284,Variance               9.188   9.170   9.139   9.130   9.072   9.054,,,,,,,require,0.119,0.04,-0.016
285,% of var.              0.101   0.101   0.101   0.101   0.100   0.100,,,,,,,molecule,0.012,0.04,0.009
286,Cumulative % of var.  74.559  74.660  74.761  74.862  74.962  75.062,,,,,,,healing,0.011,0.04,0.005
287,                     Dim.421 Dim.422 Dim.423 Dim.424 Dim.425 Dim.426,,,,,,,qualitative,0.009,0.04,0.008
288,Variance               9.038   9.010   8.993   8.987   8.963   8.946,,,,,,,therapeutic,0.009,0.04,-0.001
289,% of var.              0.100   0.100   0.099   0.099   0.099   0.099,,,,,,,want,0.003,0.04,0
290,Cumulative % of var.  75.162  75.262  75.361  75.460  75.559  75.658,,,,,,,develop,-0.022,0.04,-0.011
291,                     Dim.427 Dim.428 Dim.429 Dim.430 Dim.431 Dim.432,,,,,,,like,0.203,0.039,-0.011
292,Variance               8.909   8.900   8.879   8.849   8.846   8.811,,,,,,,injury,0.017,0.039,0.011
293,% of var.              0.098   0.098   0.098   0.098   0.098   0.097,,,,,,,taskspecific,0.017,0.039,-0.019
294,Cumulative % of var.  75.756  75.855  75.953  76.050  76.148  76.245,,,,,,,specificity,0.013,0.039,0.007
295,                     Dim.433 Dim.434 Dim.435 Dim.436 Dim.437 Dim.438,,,,,,,complexity,0.005,0.039,-0.001
296,Variance               8.792   8.776   8.758   8.734   8.721   8.713,,,,,,,occurring,0.018,0.037,0.009
297,% of var.              0.097   0.097   0.097   0.096   0.096   0.096,,,,,,,nanoparticlebased,0.007,0.037,0.008
298,Cumulative % of var.  76.342  76.439  76.536  76.633  76.729  76.825,,,,,,,captured,0.004,0.037,0.008
299,                     Dim.439 Dim.440 Dim.441 Dim.442 Dim.443 Dim.444,,,,,,,simplify,0.007,0.036,0.004
300,Variance               8.701   8.685   8.647   8.637   8.598   8.594,,,,,,,explains,0.007,0.036,-0.006
301,% of var.              0.096   0.096   0.095   0.095   0.095   0.095,,,,,,,summary,-0.001,0.036,0.005
302,Cumulative % of var.  76.921  77.017  77.113  77.208  77.303  77.398,,,,,,,overview,-0.007,0.036,0.014
303,                     Dim.445 Dim.446 Dim.447 Dim.448 Dim.449 Dim.450,,,,,,,array,0.371,0.035,-0.045
304,Variance               8.584   8.577   8.560   8.527   8.516   8.515,,,,,,,modifications,0.031,0.035,-0.022
305,% of var.              0.095   0.095   0.095   0.094   0.094   0.094,,,,,,,functional,0.014,0.035,-0.016
306,Cumulative % of var.  77.493  77.587  77.682  77.776  77.870  77.964,,,,,,,resource,-0.001,0.035,0.022
307,                     Dim.451 Dim.452 Dim.453 Dim.454 Dim.455 Dim.456,,,,,,,selfsupervised,0.01,0.034,-0.019
308,Variance               8.474   8.455   8.438   8.432   8.404   8.389,,,,,,,document,0.004,0.034,0.005
309,% of var.              0.094   0.093   0.093   0.093   0.093   0.093,,,,,,,ards,-0.008,0.034,0.017
310,Cumulative % of var.  78.058  78.151  78.244  78.337  78.430  78.523,,,,,,,arrhythmias,-0.008,0.034,0.017
311,                     Dim.457 Dim.458 Dim.459 Dim.460 Dim.461 Dim.462,,,,,,,breath,-0.008,0.034,0.017
312,Variance               8.370   8.359   8.329   8.324   8.299   8.266,,,,,,,clots,-0.008,0.034,0.017
313,% of var.              0.092   0.092   0.092   0.092   0.092   0.091,,,,,,,coma,-0.008,0.034,0.017
314,Cumulative % of var.  78.615  78.708  78.800  78.892  78.983  79.074,,,,,,,distress,-0.008,0.034,0.017
315,                     Dim.463 Dim.464 Dim.465 Dim.466 Dim.467 Dim.468,,,,,,,embolism,-0.008,0.034,0.017
316,Variance               8.247   8.229   8.215   8.206   8.170   8.164,,,,,,,fatal,-0.008,0.034,0.017
317,% of var.              0.091   0.091   0.091   0.091   0.090   0.090,,,,,,,lesions,-0.008,0.034,0.017
318,Cumulative % of var.  79.166  79.256  79.347  79.438  79.528  79.618,,,,,,,lungs,-0.008,0.034,0.017
319,                     Dim.469 Dim.470 Dim.471 Dim.472 Dim.473 Dim.474,,,,,,,mouth,-0.008,0.034,0.017
320,Variance               8.143   8.122   8.086   8.078   8.070   8.048,,,,,,,nose,-0.008,0.034,0.017
321,% of var.              0.090   0.090   0.089   0.089   0.089   0.089,,,,,,,pulmonary,-0.008,0.034,0.017
322,Cumulative % of var.  79.708  79.798  79.887  79.976  80.065  80.154,,,,,,,shortness,-0.008,0.034,0.017
323,                     Dim.475 Dim.476 Dim.477 Dim.478 Dim.479 Dim.480,,,,,,,toes,-0.008,0.034,0.017
324,Variance               8.044   8.012   8.005   7.981   7.967   7.965,,,,,,,untreated,-0.008,0.034,0.017
325,% of var.              0.089   0.088   0.088   0.088   0.088   0.088,,,,,,,dynamics,0.014,0.033,-0.016
326,Cumulative % of var.  80.243  80.332  80.420  80.508  80.596  80.684,,,,,,,nature,0.01,0.033,-0.008
327,                     Dim.481 Dim.482 Dim.483 Dim.484 Dim.485 Dim.486,,,,,,,viruses,0.005,0.033,0.009
328,Variance               7.938   7.927   7.912   7.889   7.862   7.854,,,,,,,damaged,0.005,0.033,0.001
329,% of var.              0.088   0.088   0.087   0.087   0.087   0.087,,,,,,,threshold,0,0.033,0.006
330,Cumulative % of var.  80.772  80.859  80.947  81.034  81.121  81.207,,,,,,,quickly,-0.005,0.033,0.005
331,                     Dim.487 Dim.488 Dim.489 Dim.490 Dim.491 Dim.492,,,,,,,evaluated,0.025,0.032,-0.002
332,Variance               7.832   7.826   7.794   7.786   7.774   7.761,,,,,,,achieving,0.02,0.032,-0.017
333,% of var.              0.086   0.086   0.086   0.086   0.086   0.086,,,,,,,acts,0.019,0.032,0.01
334,Cumulative % of var.  81.294  81.380  81.466  81.552  81.638  81.724,,,,,,,recovery,0.012,0.032,0.01
335,                     Dim.493 Dim.494 Dim.495 Dim.496 Dim.497 Dim.498,,,,,,,asthma,0.011,0.032,0.007
336,Variance               7.739   7.707   7.695   7.677   7.663   7.634,,,,,,,allowed,0.01,0.032,-0.01
337,% of var.              0.085   0.085   0.085   0.085   0.085   0.084,,,,,,,sample,0.009,0.032,-0.011
338,Cumulative % of var.  81.809  81.894  81.979  82.064  82.149  82.233,,,,,,,model,0.026,0.031,-0.033
339,                     Dim.499 Dim.500 Dim.501 Dim.502 Dim.503 Dim.504,,,,,,,transferred,0.015,0.031,-0.011
340,Variance               7.623   7.601   7.590   7.563   7.559   7.547,,,,,,,fundamental,0.014,0.031,-0.018
341,% of var.              0.084   0.084   0.084   0.084   0.083   0.083,,,,,,,challenges,-0.026,0.031,-0.035
342,Cumulative % of var.  82.317  82.401  82.485  82.569  82.652  82.735,,,,,,,models,0.148,0.03,-0.042
343,                     Dim.505 Dim.506 Dim.507 Dim.508 Dim.509 Dim.510,,,,,,,sentences,0.006,0.03,0.003
344,Variance               7.530   7.525   7.506   7.480   7.463   7.460,,,,,,,creates,0.003,0.03,0.001
345,% of var.              0.083   0.083   0.083   0.083   0.082   0.082,,,,,,,work,-0.002,0.03,-0.007
346,Cumulative % of var.  82.819  82.902  82.985  83.067  83.150  83.232,,,,,,,combination,-0.007,0.03,-0.005
347,                     Dim.511 Dim.512 Dim.513 Dim.514 Dim.515 Dim.516,,,,,,,step,-0.011,0.029,-0.011
348,Variance               7.441   7.422   7.408   7.389   7.376   7.361,,,,,,,signal,0.01,0.028,0
349,% of var.              0.082   0.082   0.082   0.082   0.081   0.081,,,,,,,sequences,0.009,0.028,0.004
350,Cumulative % of var.  83.314  83.396  83.478  83.560  83.641  83.722,,,,,,,might,0.009,0.028,-0.029
351,                     Dim.517 Dim.518 Dim.519 Dim.520 Dim.521 Dim.522,,,,,,,rare,0.007,0.028,-0.011
352,Variance               7.338   7.322   7.301   7.297   7.284   7.271,,,,,,,microfluidic,0.004,0.028,0.003
353,% of var.              0.081   0.081   0.081   0.081   0.080   0.080,,,,,,,storage,-0.001,0.028,0.001
354,Cumulative % of var.  83.803  83.884  83.965  84.045  84.126  84.206,,,,,,,pretrained,0.018,0.027,-0.024
355,                     Dim.523 Dim.524 Dim.525 Dim.526 Dim.527 Dim.528,,,,,,,insights,0.007,0.027,-0.009
356,Variance               7.254   7.233   7.221   7.206   7.202   7.165,,,,,,,immune,0.005,0.027,-0.004
357,% of var.              0.080   0.080   0.080   0.080   0.080   0.079,,,,,,,nanoparticles,0.004,0.027,-0.002
358,Cumulative % of var.  84.286  84.366  84.446  84.525  84.605  84.684,,,,,,,holds,0.372,0.026,-0.02
359,                     Dim.529 Dim.530 Dim.531 Dim.532 Dim.533 Dim.534,,,,,,,roles,0.009,0.026,-0.014
360,Variance               7.140   7.125   7.111   7.098   7.095   7.075,,,,,,,camera,0.001,0.026,0.009
361,% of var.              0.079   0.079   0.079   0.078   0.078   0.078,,,,,,,surface,0.001,0.026,-0.001
362,Cumulative % of var.  84.763  84.842  84.920  84.999  85.077  85.155,,,,,,,lifethreatening,-0.009,0.026,0.013
363,                     Dim.535 Dim.536 Dim.537 Dim.538 Dim.539 Dim.540,,,,,,,expression,0.456,0.025,-0.032
364,Variance               7.072   7.048   7.042   7.025   7.004   6.977,,,,,,,language,0.149,0.025,-0.036
365,% of var.              0.078   0.078   0.078   0.078   0.077   0.077,,,,,,,text,0.064,0.025,-0.031
366,Cumulative % of var.  85.233  85.311  85.389  85.466  85.544  85.621,,,,,,,advantages,0.015,0.025,-0.013
367,                     Dim.541 Dim.542 Dim.543 Dim.544 Dim.545 Dim.546,,,,,,,produced,0.012,0.025,-0.005
368,Variance               6.965   6.957   6.946   6.933   6.906   6.895,,,,,,,classify,0.007,0.025,-0.002
369,% of var.              0.077   0.077   0.077   0.077   0.076   0.076,,,,,,,flavors,0.001,0.025,-0.007
370,Cumulative % of var.  85.698  85.775  85.851  85.928  86.004  86.080,,,,,,,myocarditis,-0.009,0.025,0.012
371,                     Dim.547 Dim.548 Dim.549 Dim.550 Dim.551 Dim.552,,,,,,,probiotics,-0.009,0.025,-0.001
372,Variance               6.874   6.855   6.849   6.837   6.805   6.790,,,,,,,diverse,0.144,0.024,-0.035
373,% of var.              0.076   0.076   0.076   0.075   0.075   0.075,,,,,,,answer,0.097,0.024,-0.015
374,Cumulative % of var.  86.156  86.232  86.307  86.383  86.458  86.533,,,,,,,various,0.083,0.024,-0.022
375,                     Dim.553 Dim.554 Dim.555 Dim.556 Dim.557 Dim.558,,,,,,,rated,0.03,0.024,-0.009
376,Variance               6.780   6.760   6.746   6.740   6.719   6.689,,,,,,,archiving,-0.002,0.024,0.008
377,% of var.              0.075   0.075   0.074   0.074   0.074   0.074,,,,,,,convinced,-0.002,0.024,0.008
378,Cumulative % of var.  86.608  86.683  86.757  86.832  86.906  86.980,,,,,,,dandekar’s,-0.002,0.024,0.008
379,                     Dim.559 Dim.560 Dim.561 Dim.562 Dim.563 Dim.564,,,,,,,hereditary,-0.002,0.024,0.008
380,Variance               6.680   6.664   6.645   6.635   6.593   6.590,,,,,,,longevity,-0.002,0.024,0.008
381,% of var.              0.074   0.074   0.073   0.073   0.073   0.073,,,,,,,longlasting,-0.002,0.024,0.008
382,Cumulative % of var.  87.053  87.127  87.200  87.274  87.347  87.419,,,,,,,polymers,-0.002,0.024,0.008
383,                     Dim.565 Dim.566 Dim.567 Dim.568 Dim.569 Dim.570,,,,,,,superior,-0.002,0.024,0.008
384,Variance               6.579   6.561   6.559   6.540   6.531   6.502,,,,,,,würzburg,-0.002,0.024,0.008
385,% of var.              0.073   0.072   0.072   0.072   0.072   0.072,,,,,,,flavor,-0.008,0.024,0
386,Cumulative % of var.  87.492  87.564  87.637  87.709  87.781  87.853,,,,,,,improve,-0.023,0.024,-0.036
387,                     Dim.571 Dim.572 Dim.573 Dim.574 Dim.575 Dim.576,,,,,,,opens,0.009,0.023,-0.029
388,Variance               6.485   6.475   6.461   6.443   6.434   6.416,,,,,,,inside,0.007,0.023,0
389,% of var.              0.072   0.072   0.071   0.071   0.071   0.071,,,,,,,bodies,0.007,0.023,0
390,Cumulative % of var.  87.925  87.996  88.067  88.139  88.210  88.281,,,,,,,ideal,0.006,0.023,-0.004
391,                     Dim.577 Dim.578 Dim.579 Dim.580 Dim.581 Dim.582,,,,,,,using,0.006,0.023,-0.008
392,Variance               6.411   6.394   6.375   6.354   6.339   6.326,,,,,,,applications,0.006,0.023,-0.047
393,% of var.              0.071   0.071   0.070   0.070   0.070   0.070,,,,,,,store,-0.004,0.023,-0.002
394,Cumulative % of var.  88.351  88.422  88.492  88.562  88.632  88.702,,,,,,,acidity,-0.008,0.023,0
395,                     Dim.583 Dim.584 Dim.585 Dim.586 Dim.587 Dim.588,,,,,,,betterbalanced,-0.008,0.023,0
396,Variance               6.310   6.289   6.276   6.242   6.229   6.202,,,,,,,bread,-0.008,0.023,0
397,% of var.              0.070   0.069   0.069   0.069   0.069   0.068,,,,,,,buttermilk,-0.008,0.023,0
398,Cumulative % of var.  88.772  88.841  88.911  88.980  89.049  89.117,,,,,,,cfus,-0.008,0.023,0
399,                     Dim.589 Dim.590 Dim.591 Dim.592 Dim.593 Dim.594,,,,,,,checking,-0.008,0.023,0
400,Variance               6.198   6.184   6.165   6.151   6.138   6.123,,,,,,,coffee,-0.008,0.023,0
401,% of var.              0.068   0.068   0.068   0.068   0.068   0.068,,,,,,,coffees,-0.008,0.023,0
402,Cumulative % of var.  89.185  89.254  89.322  89.390  89.458  89.525,,,,,,,cottage,-0.008,0.023,0
403,                     Dim.595 Dim.596 Dim.597 Dim.598 Dim.599 Dim.600,,,,,,,cultures,-0.008,0.023,0
404,Variance               6.114   6.091   6.086   6.065   6.058   6.050,,,,,,,diet,-0.008,0.023,0
405,% of var.              0.068   0.067   0.067   0.067   0.067   0.067,,,,,,,double,-0.008,0.023,0
406,Cumulative % of var.  89.593  89.660  89.727  89.794  89.861  89.928,,,,,,,fermented,-0.008,0.023,0
407,                     Dim.601 Dim.602 Dim.603 Dim.604 Dim.605 Dim.606,,,,,,,kimchi,-0.008,0.023,0
408,Variance               6.005   5.993   5.977   5.961   5.952   5.946,,,,,,,kombucha,-0.008,0.023,0
409,% of var.              0.066   0.066   0.066   0.066   0.066   0.066,,,,,,,microorganism,-0.008,0.023,0
410,Cumulative % of var.  89.994  90.060  90.126  90.192  90.258  90.324,,,,,,,miso,-0.008,0.023,0
411,                     Dim.607 Dim.608 Dim.609 Dim.610 Dim.611 Dim.612,,,,,,,moderation,-0.008,0.023,0
412,Variance               5.928   5.906   5.898   5.870   5.855   5.849,,,,,,,mouthfeels,-0.008,0.023,0
413,% of var.              0.065   0.065   0.065   0.065   0.065   0.065,,,,,,,overgrowth,-0.008,0.023,0
414,Cumulative % of var.  90.389  90.454  90.519  90.584  90.649  90.714,,,,,,,overuse,-0.008,0.023,0
415,                     Dim.613 Dim.614 Dim.615 Dim.616 Dim.617 Dim.618,,,,,,,pickles,-0.008,0.023,0
416,Variance               5.825   5.799   5.785   5.769   5.764   5.757,,,,,,,probiotic,-0.008,0.023,0
417,% of var.              0.064   0.064   0.064   0.064   0.064   0.064,,,,,,,probioticrich,-0.008,0.023,0
418,Cumulative % of var.  90.778  90.842  90.906  90.969  91.033  91.097,,,,,,,sauerkraut,-0.008,0.023,0
419,                     Dim.619 Dim.620 Dim.621 Dim.622 Dim.623 Dim.624,,,,,,,smoky,-0.008,0.023,0
420,Variance               5.734   5.725   5.717   5.692   5.684   5.665,,,,,,,soup,-0.008,0.023,0
421,% of var.              0.063   0.063   0.063   0.063   0.063   0.063,,,,,,,sourdough,-0.008,0.023,0
422,Cumulative % of var.  91.160  91.223  91.286  91.349  91.412  91.475,,,,,,,tempeh,-0.008,0.023,0
423,                     Dim.625 Dim.626 Dim.627 Dim.628 Dim.629 Dim.630,,,,,,,yogurt,-0.008,0.023,0
424,Variance               5.648   5.628   5.616   5.583   5.580   5.574,,,,,,,specific,0.015,0.022,-0.035
